site avenue street desiredtime value
1 50 96 114 3
2 8 23 110 186
3 88 69 218 3
4 0 95 101 86
5 1 48 192 199
6 69 3 75 144
7 22 32 64 1
8 46 39 39 231
9 29 37 100 89
10 18 43 156 7
11 16 37 90 206
12 24 90 24 123
13 85 78 66 143
14 21 71 172 169
15 23 26 175 221
16 11 33 33 121
17 83 58 117 137
18 61 34 206 73
19 45 56 78 37
20 77 76 44 141
21 2 90 110 29
22 85 24 79 147
23 31 57 91 248
24 85 8 123 194
25 74 29 74 226
26 33 15 135 184
27 20 43 179 227
28 42 20 162 90
29 10 33 106 11
30 95 25 84 145
31 28 72 210 57
32 72 39 203 41
33 9 27 72 104
34 42 90 167 108
35 16 20 215 122
36 89 57 187 60
37 23 57 149 145
38 70 29 154 100
39 70 84 204 53
40 38 95 100 189
41 74 87 65 102
42 14 74 213 38
43 71 64 127 144
44 69 72 125 38
45 80 9 186 84
46 91 21 164 247
47 43 36 129 32
48 73 65 93 219
49 43 34 205 174
50 89 21 112 76
51 59 26 142 205
52 18 56 131 43
53 62 16 116 56
54 44 43 72 100
55 21 60 161 215
56 44 76 128 238
57 46 10 102 226
58 33 48 34 179
59 16 28 197 88
60 44 5 120 188
61 69 29 171 43
62 82 63 161 35
63 2 46 132 25
64 36 93 23 29
65 50 53 165 214
66 51 74 202 155
67 30 20 132 115
68 8 33 205 135
69 27 48 172 67
70 81 29 46 52
71 30 71 39 90
72 25 39 141 205
73 17 30 132 169
74 52 49 64 2
75 40 85 83 162
76 47 54 212 133
77 19 45 59 39
78 43 91 108 181
79 74 74 114 8
80 33 76 60 202
81 56 32 158 134
82 14 48 92 141
83 87 78 121 195
84 79 84 147 5
85 22 98 79 52
86 84 80 157 128
87 29 65 46 209
88 86 17 89 153
89 88 38 110 60
90 5 39 193 137
91 71 50 84 49
92 8 66 108 95
93 33 8 65 143
94 32 71 106 192
95 70 67 152 188
96 28 83 82 239
97 32 16 151 131
98 12 42 211 165
99 29 57 188 192
100 98 6 195 58
101 87 80 108 201
102 26 12 191 116
103 57 85 178 23
104 91 47 113 239
105 76 93 120 192
106 72 15 57 220
107 9 62 126 157
108 91 89 111 243
109 99 97 79 107
110 84 67 125 8
111 29 21 208 198
112 30 80 54 89
113 42 42 151 130
114 13 68 75 31
115 64 7 27 50
116 34 55 69 135
117 43 36 89 180
118 76 59 150 126
119 8 47 134 129
120 43 30 154 182
121 71 42 200 166
122 97 56 210 88
123 84 58 69 208
124 85 69 86 50
125 33 14 30 246
126 92 54 156 99
127 74 19 101 123
128 13 93 40 218
129 40 87 66 60
130 50 41 58 202
131 86 27 172 199
132 21 20 162 12
133 10 20 91 199
134 80 19 55 238
135 87 25 162 19
136 59 19 212 111
137 87 5 113 230
138 79 14 111 135
139 66 10 183 45
140 17 67 36 123
141 37 85 169 201
142 12 10 140 145
143 4 71 112 99
144 18 68 216 153
145 65 67 124 7
146 44 21 118 230
147 89 39 97 94
148 94 4 198 42
149 65 74 54 37
150 79 42 170 12
  
site day beginhour endhour
1 1 6 12
2 1 9 17
3 1 9 12
4 1 6 17
5 1 5 12
6 1 4 14
7 1 5 14
8 1 7 15
9 1 8 19
10 1 1 12
11 1 6 15
12 1 3 11
13 1 3 17
14 1 1 12
15 1 5 20
16 1 1 15
17 1 1 17
18 1 9 15
19 1 1 15
20 1 6 15
21 1 6 18
22 1 10 20
23 1 3 15
24 1 2 19
25 1 10 18
26 1 2 16
27 1 1 18
28 1 10 16
29 1 4 14
30 1 2 13
31 1 3 20
32 1 10 19
33 1 6 15
34 1 4 13
35 1 8 18
36 1 8 19
37 1 5 11
38 1 7 18
39 1 10 20
40 1 4 17
41 1 6 17
42 1 6 19
43 1 10 12
44 1 5 13
45 1 2 11
46 1 9 19
47 1 6 12
48 1 10 15
49 1 5 16
50 1 9 16
51 1 2 14
52 1 2 15
53 1 5 14
54 1 10 19
55 1 9 14
56 1 5 18
57 1 5 16
58 1 2 20
59 1 6 11
60 1 10 11
61 1 2 15
62 1 1 13
63 1 3 11
64 1 1 16
65 1 7 13
66 1 8 19
67 1 8 15
68 1 4 17
69 1 10 18
70 1 2 19
71 1 5 20
72 1 10 18
73 1 2 15
74 1 6 20
75 1 5 17
76 1 10 17
77 1 3 20
78 1 8 13
79 1 8 13
80 1 2 14
81 1 10 19
82 1 6 20
83 1 4 12
84 1 9 15
85 1 5 11
86 1 3 14
87 1 4 19
88 1 8 11
89 1 2 15
90 1 1 14
91 1 9 18
92 1 10 11
93 1 4 14
94 1 10 17
95 1 10 12
96 1 8 12
97 1 2 15
98 1 3 12
99 1 2 19
100 1 8 14
101 1 2 13
102 1 7 14
103 1 9 17
104 1 3 17
105 1 1 12
106 1 3 14
107 1 3 17
108 1 4 16
109 1 3 15
110 1 2 14
111 1 2 19
112 1 8 17
113 1 3 19
114 1 6 18
115 1 3 18
116 1 7 13
117 1 2 11
118 1 10 19
119 1 4 13
120 1 3 17
121 1 10 13
122 1 5 16
123 1 1 15
124 1 3 20
125 1 7 17
126 1 5 11
127 1 9 20
128 1 8 14
129 1 5 19
130 1 4 18
131 1 3 18
132 1 6 17
133 1 4 19
134 1 2 20
135 1 4 20
136 1 7 14
137 1 3 13
138 1 1 19
139 1 4 14
140 1 4 14
141 1 1 18
142 1 8 20
143 1 10 11
144 1 9 16
145 1 7 12
146 1 6 20
147 1 3 11
148 1 10 19
149 1 5 19
150 1 3 15
1 2 5 16
2 2 8 15
3 2 6 15
4 2 4 16
5 2 8 17
6 2 2 12
7 2 3 12
8 2 2 20
9 2 8 14
10 2 3 13
11 2 6 11
12 2 6 19
13 2 7 17
14 2 9 20
15 2 2 19
16 2 5 11
17 2 3 20
18 2 2 14
19 2 7 20
20 2 1 18
21 2 7 19
22 2 5 14
23 2 9 18
24 2 10 11
25 2 8 19
26 2 2 20
27 2 5 18
28 2 4 15
29 2 5 15
30 2 1 13
31 2 7 13
32 2 2 17
33 2 1 11
34 2 1 20
35 2 3 20
36 2 10 18
37 2 9 20
38 2 9 13
39 2 5 15
40 2 9 12
41 2 6 15
42 2 2 18
43 2 2 17
44 2 6 19
45 2 3 11
46 2 3 20
47 2 2 20
48 2 1 13
49 2 10 19
